title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Usual Suspects,106,Crime; Drama; Thriller,Bryan Singer,Christopher McQuarrie,Kevin Spacey; Gabriel Byrne; Chazz Palminteri,8.6,679859
It's a Wonderful Life,130,Drama; Family; Fantasy,Frank Capra,Frances Goodrich; Albert Hackett,James Stewart; Donna Reed; Lionel Barrymore,8.6,250117
La vita è bella,116,Comedy; Drama; Romance,Roberto Benigni,Vincenzo Cerami; Roberto Benigni,Roberto Benigni; Nicoletta Braschi; Giorgio Cantarini,8.6,375884
Léon,110,Crime; Drama; Thriller,Luc Besson,Luc Besson,Jean Reno; Gary Oldman; Natalie Portman,8.6,660363
Once Upon a Time in the West,175,Western,Sergio Leone,Sergio Donati; Sergio Leone,Henry Fonda; Charles Bronson; Claudia Cardinale,8.6,198670
Interstellar,169,Adventure; Drama; Sci-Fi,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Matthew McConaughey; Anne Hathaway; Jessica Chastain,8.7,763333
Saving Private Ryan,169,Action; Drama; War,Steven Spielberg,Robert Rodat,Tom Hanks; Matt Damon; Tom Sizemore,8.6,800641
De reis van Chihiro,125,Animation; Adventure; Family,Hayao Miyazaki,Hayao Miyazaki,Daveigh Chase; Suzanne Pleshette; Miyu Irino,8.6,373470
American History X,119,Crime; Drama,Tony Kaye,David McKenna,Edward Norton; Edward Furlong; Beverly D'Angelo,8.6,719384
Casablanca,102,Drama; Romance; War,Michael Curtiz,Julius J. Epstein; Philip G. Epstein,Humphrey Bogart; Ingrid Bergman; Paul Henreid,8.6,360562
Psycho,109,Horror; Mystery; Thriller,Alfred Hitchcock,Joseph Stefano; Robert Bloch,Anthony Perkins; Janet Leigh; Vera Miles,8.6,385844
City Lights,87,Comedy; Drama; Romance,Charles Chaplin,Charles Chaplin,Charles Chaplin; Virginia Cherrill; Florence Lee,8.6,96805
Indiana Jones and the Raiders of the Lost Ark,115,Action; Adventure,Steven Spielberg,Lawrence Kasdan; George Lucas,Harrison Ford; Karen Allen; Paul Freeman,8.6,605436
Rear Window,112,Mystery; Thriller,Alfred Hitchcock,John Michael Hayes; Cornell Woolrich,James Stewart; Grace Kelly; Wendell Corey,8.5,289895
The Intouchables,112,Biography; Comedy; Drama,Olivier Nakache; Eric Toledano,Olivier Nakache; Eric Toledano,François Cluzet; Omar Sy; Anne Le Ny,8.6,440829
Modern Times,87,Comedy; Drama,Charles Chaplin,Charles Chaplin,Charles Chaplin; Paulette Goddard; Henry Bergman,8.6,127428
